ID,Doctor,Procedure,Theatre,Duration,Procedure Revenue
1,Bl,GK,Theatre 1,4,25000
2,Bl,TS,Theatre 1,2.5,9695
3,Bl,NM,Theatre 1,3.5,11895
4,Bl,NM,Theatre 2,3.5,11895
5,ST,TS,Theatre 1,2.5,9695
6,ST,TG,Theatre 2,0.5,4500
7,ST,RT,Theatre 2,1.5,5495
8,ST,DS,Theatre 2,1.5,3000
9,ST,WE,Theatre 1,2.5,7700
10,ST,WE,Theatre 2,2.5,7700
11,ST,YG,Theatre 1,3,8750
12,MO,GK,Theatre 1,4,25000
13,MO,NM,Theatre 1,3.5,11895
14,MO,NM,Theatre 2,3.5,11895
15,IT,GK,Theatre 1,4,25000
16,IT,NM,Theatre 1,3.5,11895
17,IT,NM,Theatre 2,3.5,11895
18,IT,TG,Theatre 2,0.5,4500
19,IT,RT,Theatre 2,1.5,5495
20,IT,DS,Theatre 2,1.5,3000
21,IT,OU,Theatre 1,3,8100
22,IT,OU,Theatre 2,3,8100
